No.,name,address,score,tags,distance,price:lunch,price:dinner
104,浅野屋,東京都新宿区西早稲田1-9-9,3.17,そば、かつ丼??かつ重、カレーライス,早稲田（都電）駅 228m,-,"￥1,000～￥1,999"
105,ファミリーマート早稲田大学店,東京都新宿区西早稲田1-6-1,3,その他,早稲田（都電）駅 312m,～￥999,-
106,安楽亭西早稲田店,東京都新宿区西早稲田3-29-11 小泉ビル　２Ｆ,3.04,焼肉、ホルモン,面影橋駅 303m,"￥2,000～￥2,999","￥3,000～￥3,999"
107,生協グランド坂食堂,東京都新宿区西早稲田1-5,3.06,学生食堂、カレーライス、そば,早稲田（都電）駅 268m,～￥999,-
108,ソウル焼肉,東京都新宿区西早稲田1-13-5,3.03,焼肉、韓国料理,早稲田（都電）駅 207m,～￥999,-
109,オモテナシャモジ,東京都新宿区西早稲田3-28-1 リコスビル 1F,3.05,カフェ,面影橋駅 375m,"￥1,000～￥1,999",-
110,紅梅,東京都新宿区西早稲田2-4-26,3.05,和食（その他）,早稲田（都電）駅 423m,～￥999,-
111,キッチンミキ,東京都新宿区西早稲田1-20-10,3.47,定食??食堂、ハンバーグ、オムライス,早稲田（都電）駅 146m,～￥999,-
112,MARON,東京都新宿区西早稲田2-19-12,3.18,パン,西早稲田駅 162m,～￥999,～￥999
113,トラットリアダイパエサーニ,東京都新宿区西早稲田2-18-19,3.69,イタリアン、ワインバー、パスタ,面影橋駅 354m,"￥1,000～￥1,999","￥4,000～￥4,999"
114,アジアンダイニングバープジャ,東京都新宿区西早稲田1-16-8 フェニックス早稲田 2F,3.16,インド料理,早稲田（都電）駅 68m,～￥999,-
115,やぶ,東京都新宿区西早稲田1-17-9,3.01,そば,早稲田（都電）駅 123m,"￥1,000～￥1,999",-
116,スパイスカレー&カフェセント,東京都新宿区西早稲田2-11-13,3.5,カレーライス、カフェ,面影橋駅 358m,"￥1,000～￥1,999","￥1,000～￥1,999"
117,OTTO,東京都新宿区西早稲田2-15-4 101,3.04,パスタ,面影橋駅 362m,～￥999,-
118,麻の葉,東京都新宿区西早稲田2-1-4 鈴木ビル　１Ｆ,3.52,創作料理、居酒屋,早稲田（メトロ）駅 348m,～￥999,"￥3,000～￥3,999"
119,喫茶タビビトの木,東京都新宿区西早稲田2-1-2,3.1,カフェ,早稲田（メトロ）駅 381m,～￥999,"￥1,000～￥1,999"
120,アプサラレストラン&バー,東京都新宿区西早稲田3-19-1 いせかねビル１階,3.6,スリランカ料理、カレー（その他）、ダイニングバー,面影橋駅 303m,"￥1,000～￥1,999","￥1,000～￥1,999"
121,たきたて早稲田店,東京都新宿区西早稲田1丁目8-19,3.01,弁当,早稲田（都電）駅 242m,～￥999,-
122,焼鳥はちまん,東京都新宿区西早稲田3-1-1 八幡鮨　Ｂ１Ｆ,3.73,焼鳥、鳥料理,早稲田（都電）駅 338m,"￥5,000～￥5,999","￥4,000～￥4,999"
123,まぜまぜ麺OKAJi,東京都新宿区西早稲田3-13-2 岡田ビル 1F,3.01,油そば,面影橋駅 348m,～￥999,"￥1,000～￥1,999"
124,早大生協ライフセンター店,東京都新宿区西早稲田1-6-1 早稲田キャンパス 17号館 1F,3,その他,早稲田（都電）駅 249m,～￥999,-
125,タイ居酒屋　藤田,東京都新宿区西早稲田2-4-19,3.23,タイ料理、カフェ,早稲田（都電）駅 378m,～￥999,"￥2,000～￥2,999"
126,ヴィア,東京都新宿区西早稲田2-3-21,3.08,喫茶店、居酒屋??ダイニングバー（その他）、パブ,早稲田（都電）駅 453m,-,"￥4,000～￥4,999"
127,串衛,東京都新宿区西早稲田2-21-4,3.39,居酒屋,西早稲田駅 248m,-,"￥5,000～￥5,999"
128,バークロウ,東京都新宿区西早稲田2-20-3 2F,3.06,バー,西早稲田駅 52m,-,"￥1,000～￥1,999"
129,伊勢屋,東京都新宿区西早稲田2-18-20 ５０１,3.34,甘味処、ラーメン、定食??食堂,面影橋駅 353m,～￥999,-
130,田川,東京都新宿区西早稲田3-13-9,3.21,うなぎ,面影橋駅 299m,"￥2,000～￥2,999",-
131,バーインセンス,東京都新宿区西早稲田3-20-4,3.07,バー、居酒屋、ビアバー,面影橋駅 316m,-,"￥3,000～￥3,999"
132,Vplus,東京都新宿区西早稲田3-15-1 OK Bld. 1F,3.02,バル??バール、ワインバー、イタリアン,面影橋駅 313m,-,"￥4,000～￥4,999"
133,鷹ばん,東京都新宿区西早稲田1-19-16 早稲田大山ビル,3.06,居酒屋,早稲田（都電）駅 95m,-,"￥3,000～￥3,999"
134,大連厨房,東京都新宿区西早稲田3-20-4 金子ビル 2F,3.02,中華料理,面影橋駅 316m,～￥999,"￥1,000～￥1,999"
135,萬ち亭,東京都新宿区西早稲田3-13-3 CRE西早稲田3丁目ビル 1F,3.16,とんかつ、かつ丼??かつ重、カレーライス,面影橋駅 344m,～￥999,-
136,ハイドアウト,東京都新宿区西早稲田2-5-14 みよしビル2F,3.03,洋食??欧風料理（その他）,早稲田（都電）駅 392m,-,"￥2,000～￥2,999"
